n,search_params,params,build_ndc,build_ms,recall_mean,ndc_mean,time_ms_mean
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 60, m_max: 30, m_max_0: 30, distance: Dot }",2777416,344.34558799999996,0.933,673.473,0.093
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 100, m_max: 30, m_max_0: 30, distance: Dot }",3564397,484.088995,0.941,678.853,0.094
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 60, m_max: 30, m_max_0: 30, distance: Dot }",2777416,327.537154,0.933,673.473,0.087
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 60, m_max: 15, m_max_0: 30, distance: Dot }",2525928,318.052073,0.929,618.720,0.083
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 60, m_max: 15, m_max_0: 30, distance: Dot }",2525928,312.594076,0.929,618.720,0.084
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 60, m_max: 15, m_max_0: 15, distance: Dot }",1760733,221.02502099999998,0.793,405.683,0.050
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 60, m_max: 30, m_max_0: 15, distance: Dot }",2014448,249.10547,0.801,458.993,0.059
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 60, m_max: 30, m_max_0: 30, distance: Dot }",2777416,342.420309,0.933,673.473,0.090
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.2, ef_construction: 60, m_max: 30, m_max_0: 30, distance: Dot }",2268932,304.930687,0.929,594.683,0.088
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 2.0, ef_construction: 60, m_max: 30, m_max_0: 30, distance: Dot }",5954121,687.273461,0.944,1009.720,0.115
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 6.0, ef_construction: 60, m_max: 30, m_max_0: 30, distance: Dot }",14702038,1816.5388639999999,0.948,1782.693,0.200
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 60, m_max: 30, m_max_0: 30, distance: Dot }",2777416,356.171782,0.933,673.473,0.093
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 60, m_max: 30, m_max_0: 30, distance: Dot }",2777416,362.111192,0.933,673.473,0.097
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 60, m_max: 30, m_max_0: 30, distance: Dot }",2777416,330.220858,0.933,673.473,0.091
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 60, m_max: 30, m_max_0: 30, distance: Dot }",2777416,324.266856,0.933,673.473,0.083
5000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 60, m_max: 30, m_max_0: 30, distance: Dot }",2773694,350.468461,0.933,672.883,0.090
5000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.3, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1062132,112.733783,0.810,451.377,0.057
5000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.3, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1062132,114.65929299999999,0.810,451.377,0.061
5000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.3, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1062132,114.380546,0.810,451.377,0.061
5000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.3, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1062132,112.71252199999999,0.810,451.377,0.061
5000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.3, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1062132,112.86163400000001,0.810,451.377,0.061
5000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.3, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1062132,109.378571,0.810,451.377,0.062
5000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.3, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1062132,117.380992,0.810,451.377,0.061
5000,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1473420,161.858756,0.851,513.067,0.073
5000,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1473420,161.104941,0.851,513.067,0.075
5000,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1473420,158.798565,0.851,513.067,0.070
5000,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1473420,168.42283999999998,0.851,513.067,0.076
5000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1598261,160.838709,0.831,546.260,0.067
5000,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1473420,161.472737,0.851,513.067,0.074
5000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1598261,158.236242,0.831,546.260,0.067
5000,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1473420,158.399851,0.851,513.067,0.073
5000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1598261,159.26575100000002,0.831,546.260,0.066
5000,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1473420,157.602475,0.851,513.067,0.071
5000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1598261,161.267857,0.831,546.260,0.067
5000,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1473420,163.862291,0.851,513.067,0.072
5000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1598261,161.49702599999998,0.831,546.260,0.071
5000,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1473420,167.159538,0.851,513.067,0.078
5000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1598261,160.26219,0.831,546.260,0.074
5000,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1473420,163.99121399999999,0.851,513.067,0.078
5000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1598261,154.280451,0.831,546.260,0.066
5000,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1473420,156.571754,0.851,513.067,0.075
5000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1598261,145.54741800000002,0.831,546.260,0.062
5000,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1473420,149.445717,0.851,513.067,0.066
