inserted id: 8777, insert_level: 2, idx_at_insert_level: 696 top_level: 5
inserted id: 2515, insert_level: 0, idx_at_insert_level: 2515 top_level: 5
inserted id: 7520, insert_level: 0, idx_at_insert_level: 7520 top_level: 5
inserted id: 955, insert_level: 0, idx_at_insert_level: 955 top_level: 5
inserted id: 1031, insert_level: 0, idx_at_insert_level: 1031 top_level: 5
inserted id: 1893, insert_level: 1, idx_at_insert_level: 532 top_level: 5
inserted id: 17, insert_level: 0, idx_at_insert_level: 17 top_level: 5
inserted id: 724, insert_level: 0, idx_at_insert_level: 724 top_level: 5
inserted id: 1113, insert_level: 2, idx_at_insert_level: 81 top_level: 5
inserted id: 334, insert_level: 0, idx_at_insert_level: 334 top_level: 5
inserted id: 3766, insert_level: 0, idx_at_insert_level: 3766 top_level: 5
inserted id: 799, insert_level: 1, idx_at_insert_level: 216 top_level: 5
inserted id: 647, insert_level: 0, idx_at_insert_level: 647 top_level: 5
inserted id: 5024, insert_level: 0, idx_at_insert_level: 5024 top_level: 5
inserted id: 8778, insert_level: 1, idx_at_insert_level: 2529 top_level: 5
inserted id: 2516, insert_level: 0, idx_at_insert_level: 2516 top_level: 5
inserted id: 1894, insert_level: 0, idx_at_insert_level: 1894 top_level: 5
inserted id: 1032, insert_level: 0, idx_at_insert_level: 1032 top_level: 5
inserted id: 956, insert_level: 1, idx_at_insert_level: 259 top_level: 5
inserted id: 725, insert_level: 0, idx_at_insert_level: 725 top_level: 5
inserted id: 1114, insert_level: 0, idx_at_insert_level: 1114 top_level: 5
inserted id: 18, insert_level: 0, idx_at_insert_level: 18 top_level: 5
inserted id: 5025, insert_level: 0, idx_at_insert_level: 5025 top_level: 5
inserted id: 335, insert_level: 0, idx_at_insert_level: 335 top_level: 5
inserted id: 3767, insert_level: 1, idx_at_insert_level: 1075 top_level: 5
inserted id: 957, insert_level: 0, idx_at_insert_level: 957 top_level: 5
inserted id: 8779, insert_level: 1, idx_at_insert_level: 2530 top_level: 5
inserted id: 2517, insert_level: 1, idx_at_insert_level: 718 top_level: 5
inserted id: 1115, insert_level: 0, idx_at_insert_level: 1115 top_level: 5
inserted id: 19, insert_level: 0, idx_at_insert_level: 19 top_level: 5
inserted id: 488, insert_level: 0, idx_at_insert_level: 488 top_level: 5
inserted id: 336, insert_level: 0, idx_at_insert_level: 336 top_level: 5
inserted id: 648, insert_level: 0, idx_at_insert_level: 648 top_level: 5
inserted id: 3768, insert_level: 0, idx_at_insert_level: 3768 top_level: 5
inserted id: 1266, insert_level: 0, idx_at_insert_level: 1266 top_level: 5
inserted id: 20, insert_level: 0, idx_at_insert_level: 20 top_level: 5
inserted id: 1895, insert_level: 0, idx_at_insert_level: 1895 top_level: 5
inserted id: 1116, insert_level: 0, idx_at_insert_level: 1116 top_level: 5
inserted id: 7521, insert_level: 7, idx_at_insert_level: 3 top_level: 5
inserted id: 958, insert_level: 1, idx_at_insert_level: 260 top_level: 5
inserted id: 649, insert_level: 1, idx_at_insert_level: 164 top_level: 5
inserted id: 5026, insert_level: 1, idx_at_insert_level: 1429 top_level: 5
inserted id: 7522, insert_level: 0, idx_at_insert_level: 7522 top_level: 7
inserted id: 337, insert_level: 0, idx_at_insert_level: 337 top_level: 5
inserted id: 21, insert_level: 0, idx_at_insert_level: 21 top_level: 5
inserted id: 726, insert_level: 1, idx_at_insert_level: 186 top_level: 5
inserted id: 1117, insert_level: 0, idx_at_insert_level: 1117 top_level: 5
inserted id: 1267, insert_level: 0, idx_at_insert_level: 1267 top_level: 5
inserted id: 959, insert_level: 0, idx_at_insert_level: 959 top_level: 7
inserted id: 800, insert_level: 0, idx_at_insert_level: 800 top_level: 5
